"date","time","sample","context","cortisol","TagID"
"2024-06-20","13:20",17,"HABITUATION",12.88,"Tag_11"
"2024-06-25","12:00",34,"BASELINE",13.61,"Tag_11"
"2024-06-27","15:20",67,"BASELINE",11.16,"Tag_11"
"2024-07-02","09:15",84,"DRONE",11.59,"Tag_11"
"2024-07-03","12:45",98,"DRONE",11.11,"Tag_11"
"2024-06-18","15:25",5,"HABITUATION",14.07,"Tag_19"
"2024-06-20","10:40",12,"HABITUATION",10.7,"Tag_19"
"2024-06-26","09:40",43,"BASELINE",13.7,"Tag_19"
"2024-06-27","16:02",70,"BASELINE",12.43,"Tag_19"
"2024-07-02","11:35",85,"DRONE",11.77,"Tag_19"
"2024-07-03","15:00",106,"DRONE",13.04,"Tag_19"
"2024-06-18","15:06",4,"HABITUATION",11.06,"Tag_21"
"2024-06-20","10:58",14,"HABITUATION",12.93,"Tag_21"
"2024-06-26","15:05",49,"BASELINE",15.13,"Tag_21"
"2024-06-27","11:05",58,"BASELINE",9.19,"Tag_21"
"2024-07-02","11:40",87,"DRONE",9.58,"Tag_21"
"2024-07-03","15:10",107,"DRONE",11.04,"Tag_21"
"2024-06-20","14:50",21,"HABITUATION",19.75,"Tag_1"
"2024-06-26","16:00",50,"BASELINE",13.54,"Tag_1"
"2024-06-27","10:45",56,"BASELINE",12.99,"Tag_1"
"2024-07-01","14:52",77,"DRONE",11.27,"Tag_1"
"2024-07-03","10:51",94,"DRONE",10.59,"Tag_1"
"2024-06-19","10:35",7,"HABITUATION",14.27,"Tag_12"
"2024-06-25","11:25",31,"BASELINE",7.38,"Tag_12"
"2024-06-28","09:30",71,"BASELINE",9.61,"Tag_12"
"2024-07-01","15:07",79,"DRONE",10.62,"Tag_12"
"2024-07-03","15:20",109,"DRONE",12.7,"Tag_12"
"2024-06-19","13:50",11,"HABITUATION",11.65,"Tag_17"
"2024-06-26","14:45",48,"BASELINE",8.56,"Tag_17"
"2024-06-27","15:05",66,"BASELINE",13.58,"Tag_17"
"2024-07-02","08:25",82,"DRONE",10.24,"Tag_17"
"2024-07-03","15:55",110,"DRONE",10.97,"Tag_17"
"2024-06-20","15:30",23,"HABITUATION",14.17,"Tag_8"
"2024-06-25","15:50",39,"BASELINE",13.7,"Tag_8"
"2024-06-27","10:22",55,"BASELINE",14.13,"Tag_8"
"2024-07-02","13:25",91,"DRONE",12.76,"Tag_8"
"2024-07-03","13:35",99,"DRONE",10.84,"Tag_8"
"2024-06-18","12:53",2,"HABITUATION",14.57,"Tag_22"
"2024-06-20","11:15",15,"HABITUATION",11.14,"Tag_22"
"2024-06-26","09:50",44,"BASELINE",9.96,"Tag_22"
