"sample","sheepID","TagID","context","cortisol"
1,"1B","Tag_11","before",149.6
2,"2B","Tag_12","before",57.1
3,"3B","Tag_7","before",108.2
4,"4B","Tag_3","before",96.4
5,"5B","Tag_14","before",132.8
6,"1G","Tag_19","before",73.9
7,"2G","Tag_17","before",94.5
8,"3G","Tag_5","before",140.9
9,"4G","Tag_13","before",99.3
10,"5G","Tag_9","before",105.4
11,"1P","Tag_21","before",73.8
12,"2P","Tag_8","before",93
13,"3P","Tag_2","before",135.4
14,"4P","Tag_10","before",65.7
15,"5P","Tag_15","before",74.3
16,"1R","Tag_1","before",131.9
17,"2R","Tag_22","before",75.4
18,"3R","Tag_20","before",41.6
19,"4R","Tag_18","before",96.9
20,"5R","Tag_16","before",85
21,"1B","Tag_11","after",67.2
22,"2B","Tag_12","after",34.4
23,"3B","Tag_7","after",71.7
24,"4B","Tag_3","after",27.7
25,"5B","Tag_14","after",71.8
26,"1G","Tag_19","after",56.7
27,"2G","Tag_17","after",57.8
28,"3G","Tag_5","after",78.2
29,"4G","Tag_13","after",62.3
30,"5G","Tag_9","after",46.9
31,"1P","Tag_21","after",38
32,"2P","Tag_8","after",88.2
33,"3P","Tag_2","after",97.5
34,"4P","Tag_10","after",60.2
35,"5P","Tag_15","after",47.8
36,"1R","Tag_1","after",79.3
37,"2R","Tag_22","after",52.3
38,"3R","Tag_20","after",68.4
39,"4R","Tag_18","after",56.7
40,"5R","Tag_16","after",41.4
